IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.51,82.3,,Ya,Rendah,L,Tidak,Ya
3.82,91.2,19.3,Tidak,Tinggi,L,Tidak,Ya
2.75,,11.9,Tidak,Rendah,L,Ya,Tidak
2.82,74.3,4.9,Tidak,Menengah,P,Tidak,Ya
3.02,69.7,6.8,Tidak,Tinggi,P,Tidak,Ya
2.91,86.0,10.2,Ya,,L,Ya,Tidak
3.05,85.8,14.7,Ya,Rendah,L,Ya,Ya
3.75,95.5,25.3,Tidak,Menengah,P,Ya,Ya
3.18,85.4,8.5,Tidak,Tinggi,P,Tidak,Tidak
3.52,96.1,,Ya,Menengah,L,Tidak,Ya
2.99,80.6,9.0,Ya,Tinggi,P,Tidak,Ya
2.82,70.7,9.6,Tidak,Rendah,L,Ya,Tidak
3.13,87.1,,Tidak,Menengah,L,Ya,Tidak
3.13,90.6,14.7,Tidak,Menengah,P,Ya,Tidak
3.4,90.1,11.3,Ya,Tinggi,P,Tidak,Tidak
2.79,65.5,6.0,Tidak,Rendah,L,Ya,Tidak
3.21,74.1,11.2,Tidak,Tinggi,P,Tidak,Tidak
3.22,73.7,,Ya,Menengah,P,Tidak,Tidak
3.24,85.0,13.8,Tidak,,P,Tidak,Tidak
3.08,83.0,14.9,Tidak,Rendah,P,Tidak,Ya
2.87,78.2,9.1,Tidak,Tinggi,P,Tidak,Tidak
3.1,,13.9,Tidak,Rendah,L,Tidak,Ya
,,8.6,Tidak,Rendah,L,Tidak,Tidak
3.19,84.4,7.3,Tidak,Rendah,L,Ya,Tidak
3.58,100.0,19.4,Tidak,Tinggi,L,Tidak,Ya
2.75,75.6,6.5,Ya,Menengah,P,Tidak,Tidak
3.65,100.0,12.4,Ya,Menengah,P,Tidak,Ya
,81.8,9.0,Ya,Rendah,L,Tidak,Tidak
3.23,64.8,13.6,Tidak,Menengah,L,Ya,Tidak
3.28,86.8,6.1,Tidak,Menengah,L,Tidak,Tidak
3.05,76.1,,Tidak,Tinggi,L,Tidak,Ya
,86.1,13.6,Tidak,Tinggi,P,Tidak,Tidak
3.0,76.4,8.9,Tidak,Rendah,L,Ya,Tidak
,99.9,19.2,Ya,,P,Tidak,Ya
3.5,75.6,13.4,Tidak,Rendah,P,Ya,Ya
3.09,75.4,11.5,Tidak,Menengah,L,Tidak,Ya
3.44,79.6,15.1,Tidak,,L,Ya,Tidak
3.2,78.3,13.7,Ya,Rendah,L,Tidak,Tidak
3.45,84.7,12.0,Tidak,Rendah,P,Tidak,Ya
3.3,99.0,14.1,Ya,Menengah,P,Tidak,Ya
3.78,92.3,14.7,Tidak,Rendah,L,Tidak,Ya
3.1,,10.1,Ya,Menengah,P,Ya,Ya
2.83,80.6,13.7,Ya,Menengah,P,Tidak,Tidak
3.2,88.0,13.2,Tidak,Rendah,L,Ya,Ya
2.49,58.4,1.0,Tidak,Menengah,L,Ya,Tidak
2.98,,9.0,Tidak,Rendah,P,Ya,Tidak
3.51,95.4,17.8,Tidak,Menengah,P,Tidak,Ya
3.63,92.9,18.2,Ya,Menengah,P,Ya,Tidak
2.84,84.8,10.5,Ya,Rendah,P,Ya,Tidak
3.33,87.4,17.7,Ya,Rendah,P,Ya,Tidak
2.9,88.4,16.3,Ya,Menengah,L,Ya,Tidak
3.82,100.0,21.1,Tidak,Tinggi,P,Tidak,Ya
3.7,90.4,17.6,Tidak,Menengah,P,Tidak,Ya
3.36,86.4,,Ya,Menengah,P,Tidak,Tidak
3.06,72.0,5.2,Tidak,Menengah,L,Tidak,Tidak
2.63,79.3,5.1,Ya,Rendah,L,Ya,Tidak
3.3,82.3,15.7,Tidak,Menengah,L,Tidak,Tidak
3.04,77.6,12.5,Tidak,Menengah,L,Tidak,Tidak
2.65,76.0,,Ya,Rendah,L,Ya,Tidak
3.34,68.3,12.3,Tidak,Rendah,P,Ya,Ya
3.11,62.2,10.2,Ya,Rendah,P,Ya,Tidak
,88.7,16.6,Ya,Menengah,L,Ya,Ya
3.5,98.9,16.8,Ya,Tinggi,P,Tidak,Tidak
3.29,79.5,14.7,Ya,Rendah,L,Tidak,Tidak
,100.0,19.8,Ya,Menengah,L,Ya,Tidak
3.23,80.2,16.1,Ya,Rendah,L,Ya,Tidak
2.89,76.4,,Tidak,Tinggi,P,Tidak,Tidak
3.49,100.0,18.8,Tidak,Rendah,L,Ya,Ya
3.35,100.0,17.4,Ya,Menengah,L,Tidak,Ya
3.29,86.6,8.8,Tidak,Menengah,L,Tidak,Tidak
3.31,88.9,9.3,Tidak,Menengah,P,Ya,Ya
2.9,81.5,9.0,Tidak,Menengah,L,Ya,Tidak
2.97,74.2,5.5,Ya,Rendah,P,Ya,Tidak
